"After you have greeted in my words the best and most distinguished men Pellican_8127, Leon_1753, Theodore_8171, Megander_8412 and your other administrators; recommend me as you can dutifully; but especially greet your most holy wife, whom along with my brother and sister, I command you to greet warmly in Christ and who commend themselves to you as Christians. March 10, 1540.",Sender Info,Addressee Info,input,sender,receiver
10_1348_11391.xml,"<sender-id>8440 <firstname>Gervasius <name>Schuler (Scholasticus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Send my greetings to your wife, your parents, and all your family, to lord Leo_1753, Pelican_8127, Theodore_8171, Megander_8412, and Erasmus Fabritius_8437.",my,"your wife, your parents, all your family, lord Leo_1753, Pelican_8127, Theodore_8171, Megander_8412,  Erasmus Fabritius_8437."
10_1348_11391.xml,"<sender-id>8440 <firstname>Gervasius <name>Schuler (Scholasticus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",My Frecht_1055 greets you in the letters written to me.,Frecht_1055,you
10_1376_11419.xml,"<sender-id>3700 <firstname>Eberhard <name>von Rümlang
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please, greet the entire college of scholars.",sender,the entire college of scholars
10_1399_11442.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet your wife and the excellent men and brothers who are with you with the utmost diligence and respect.,sender,your wife 
10_1399_11442.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Our people bid me to send greetings to you.,Our,you
10_1387_11430.xml,"<sender-id>8418 <firstname>Oswald <name>Myconius (Geißhüsler)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",With these few words I wanted to greet you again.,I,you
10_1387_11430.xml,"<sender-id>8418 <firstname>Oswald <name>Myconius (Geißhüsler)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Give my greetings to Theodorus_8171 and Pellicanum_8127, and tell them to let me know whether they laughed or cried over our theological exercises.",me,"Theodorus_8171, Pellicanum_8127"
10_1385_11428.xml,"<sender-id>8440 <firstname>Gervasius <name>Schuler (Scholasticus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Especially greets you the doctor of our city, a piously learned man, Hulderichus Wolffart_3994, who adores and venerates you as the unique successor of the holiest man, Zwingli_4091 , although unknown by face.",sender,Hulderichus Wolffart_3994
10_1425_11468.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greet your wife and your mother on my behalf, along with the whole family, and also Ammianus_167 and Collinus_4554.",my ,"your wife, your mother, the whole family, Ammianus_167, Collinus_4554."
10_1425_11468.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greet Leo_1753, Pellican_8127 etc., especially your wife and parent.",sender,"Leo_1753, Pellican_8127, your wife, parent."
10_1392_11435.xml,"<sender-id>654 <firstname>Johannes <name>Comander
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Send greetings in my name to master Leon, Pelican, Megander and Amianus, my lords and dearest brothers.",my,"master Leon, Pelican, Megander, Amianus"
10_1358_11401.xml,"<sender-id>3429 <firstname>Pierre <name>Viret
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please send my regards to your colleagues and your fellow initiates, our brothers in the Lord most worthy of our respect.",my,"your colleagues, your fellow initiates, our brothers in the Lord"
10_1358_11401.xml,"<sender-id>3429 <firstname>Pierre <name>Viret
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",My colleagues and brothers who are with us send their greetings to you.,"My colleagues, brothers",you
10_1360_11403.xml,"<sender-id>8031 <firstname>Béat <name>Comte (Comes Donzarensis)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",I give warm greetings to all your companions.,I,all your companions
10_1402_11445.xml,"<sender-id>3856 <firstname>Kaspar <name>von Hallwyl
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
<addressee-id>49 title: Pfarrer<addressee-id>22 title: Examinatoren","My friendly regards and goodwill services are all times before highly esteemed, pious, well-educated, beloved lords.",My,lords
10_1377_11420.xml,"<sender-id>8418 <firstname>Oswald <name>Myconius (Geißhüsler)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please send my greetings to Theodore_8171 and tell him to look forward to the debate, on account of which he will laugh much more.",my,Theodore_8171
10_1398_11441.xml,"<sender-id>495 <firstname>Heinrich <name>Bullinger
","<addressee-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
",You will carefully greet Zviccium_4079 and the brothers.,You,"Zviccium_4079,  brothers"
10_1434_11477.xml,"<sender-id>4079 <firstname>Johannes <name>Zwick
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greetings again from all the good, especially Ambrose_8055 together with his brother.","Ambrose_8055, his brother",receiver
10_1349_11392.xml,"<sender-id>8418 <firstname>Oswald <name>Myconius (Geißhüsler)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Give greetings to Theodorus_8171 and Pellicanus_8127.,sender,"Theodorus_8171, Pellicanus_8127"
10_1380_11423.xml,"<sender-id>506 <firstname>John <name>Butler
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Mr. Grynaeus gives this enclosed coin here as a gift to your excellent wife, whom I ask you to salute in my name along with your mother and all the family.",Mr. Grynaeus,"your wife, your mother, all the family"
10_1380_11423.xml,"<sender-id>506 <firstname>John <name>Butler
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",I beg you to greet my most diligent guest Mr. Pellican along with all your colleagues in my words.,sender,"Mr. Pellican, all your colleagues"
10_1394_11437.xml,"<sender-id>506 <firstname>John <name>Butler
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Please greet all your colleagues with my words in the Lord.,sender,your colleagues
10_1420_11463.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greet my mother and wife with my words, along with the entire family.",sender,"my mother, my wife, the entire family"
10_1423_11466.xml,"<sender-id>1365 <firstname>Simon <name>Grynäus
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet all the brothers for me; I ask all the Lord that they may be well in Him.,me,all the brothers
10_1383_11426.xml,"<sender-id>3988 <firstname>Johannes <name>Wolf
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greet your wife, mother, sons and daughters, and especially my Christopher.",sender,receiver
10_1431_11474.xml,"<sender-id>3988 <firstname>Johannes <name>Wolf
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Farewell, greetings to your mother, wife and entire family.",sender,"your mother, wife, entire family."
10_1368_11411.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","After you have greeted in my words the best and most distinguished men Pellican_8127, Leon_1753, Theodore_8171, Megander_8412 and your other administrators; recommend me as you can dutifully; but especially greet your most holy wife, whom along with my brother and sister, I command you to greet warmly in Christ and who commend themselves to you as Christians. March 10, 1540.",sender,"Pellican_8127, Leon_1753, Theodore_8171, Megander_8412, your other administrators, your wife"
10_1379_11422.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Those sent to us from Zurich send their greetings to you.,us,you
10_1379_11422.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",And you will extend my greetings to your wife and your mother along with all your family.,my,"your wife, your mother, all your family"
10_1413_11456.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Salute in my name Mr. Pellicanus_8127, Theodorus_8171, and my other most respected teachers, especially your mother and wife with all your family.",my ,"Mr. Pellicanus_8127, Theodorus_8171, my teachers, your mother, your wife, all your family"
10_1388_11431.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please give my regards to your wife and mother, and to the entire family, as well as to your brother John, a most sincere friend.",me,"your wife, mother, entire family, brother John"
10_1347_11390.xml,"<sender-id>8440 <firstname>Gervasius <name>Schuler (Scholasticus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","I greet your beloved wife a thousand times, also in the name of my family.",I,your wife
10_1347_11390.xml,"<sender-id>8440 <firstname>Gervasius <name>Schuler (Scholasticus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Many people, including Bartholomew Bertlinus_330 and my companions, send you greetings.","Bartholomew Bertlinus_330, my companions",you
10_1371_11414.xml,"<sender-id>540 <firstname>Johannes <name>Calvin
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please send my respectful greetings to all the brothers, Pellican, Leo, Theodore, Megander, and others whom I revere with good faith in the Lord.",my,"all the brothers, Pellican, Leo, Theodore, Megander"
10_1405_11448.xml,"<sender-id>8018 <firstname>Johannes <name>Haller d.J.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Salute your mother, wife and children a thousand times for me.",me,"your mother, wife, children"
10_1352_11395.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please greet your wife and mother on my behalf, and your whole family with as much warmth as possible.",my ,"your wife, your mother, your whole family"
10_1412_11455.xml,"<sender-id>8418 <firstname>Oswald <name>Myconius (Geißhüsler)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",You will greet all brothers.,You,all brothers
10_1378_11421.xml,"<sender-id>506 <firstname>John <name>Butler
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Also, please greet my excellent wife and the whole family on my behalf.",my ,"my wife, the whole family"
10_1364_11407.xml,"<sender-id>8422 <firstname>Nicholas <name>Partridge (Perdix)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please also greet for me in my name that illustrious group of learned men, those venerable elders, D. Pellicanum et D. Leonem, the most learned Bibliander, D. Megander, D. Ammianus, D. Binderus, etc.",me,"D. Pellicanum et D. Leonem, Bibliander, D. Megander, D. Ammianus, D. Binderus"
10_1382_11425.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Give my regards to your wife, your mother and your entire family in my name.",my,"your wife, your mother, your entire family"
10_1370_11413.xml,"<sender-id>4079 <firstname>Johannes <name>Zwick
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet your entire family most earnestly.,sender,your entire family
10_1395_11438.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Zviccius_4079 and our German brothers with our sister Margareta_4320 tell me to greet you.,"Zviccius_4079, Margareta_4320",you
10_1395_11438.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",My wife greets you with great affection.,My wife,you
10_1357_11400.xml,"<sender-id>8107 <firstname>Bartholomew <name>Traheron (Trehernus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Lord Audley, a notable man, servant of the king, has become your great admirer through our preaching, and he commanded that not only I greet you accurately in his words, but also if you send your son here, that he would treat him with that kindness ","Lord Audley, I","you, your son"
10_1357_11400.xml,"<sender-id>8107 <firstname>Bartholomew <name>Traheron (Trehernus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Extend the same greetings with my words to D. Pellican, D. Judas, D. Rhelican, D. Megander, the best and most selected men.",my,"D. Pellican, D. Judas, D. Rhelican, D. Megander"
10_1435_11478.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","My German brother Thomas_8178 and the Zvicciis_4079 order you to send them much salute and they beseech and implore you for this same thing, which I do, in the case of Michael.","Thomas_8178, the Zvicciis_4079, I","you, Michael"
10_1435_11478.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","You will order your sister, my wife, to greet her with many words.","You, my wife",your sister
10_1390_11433.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","You will greet my wife, mother and children in my name.",my,"my wife, mother and children"
10_1390_11433.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Mr. Butler_4466  sends you his most respectful greetings, as do our young men.","Mr. Butler_4466 , our young men",you
10_1430_11473.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",You will greet your wife and mother on my behalf with your whole family.,my ,"your wife, your mother, your whole family"
10_1362_11405.xml,"<sender-id>2448 <firstname>Oswald <name>Pergener
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","The brothers send you greetings, especially from Bohemia_18477.",Bohemia_18477,you
10_1384_11427.xml,"<sender-id>8011 <firstname>Rudolf <name>Gwalther (Walter, Gualtherus, Walthart) d.Ä.
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greetings in my name to your wife and your mother along with all your children.,my ,"your wife, your mother, all your children"
10_1375_11418.xml,"<sender-id>1365 <firstname>Simon <name>Grynäus
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Again, farewell and greet everyone, all, I say, the most beloved brothers.",I,everyone
10_1397_11440.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet all those distinguished men who labor tirelessly and with unflagging zeal in the Lord's vineyard.,sender,men 
10_1397_11440.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","All ours greet you, especially our Zviccius_4079, who is now suffering greatly in one knee; may Christ soon restore him to us and to our church, with great fruitfulness.",Zviccius_4079,you
10_1414_11457.xml,"<sender-id>4079 <firstname>Johannes <name>Zwick
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Ambrosius_8055 sends you most studious greetings along with your brothers.,Ambrosius_8055,"you, your brothers"
